[09:02:27] BLOCK #000001 | SUPPLY: 699,999,731.12 HUMA
[09:02:30] BLOCK #000002 | SUPPLY: 699,999,344.93 HUMA
[09:02:33] BLOCK #000003 | SUPPLY: 699,999,075.10 HUMA
[09:02:36] BLOCK #000004 | SUPPLY: 699,998,674.35 HUMA
[09:02:39] BLOCK #000005 | SUPPLY: 699,998,199.57 HUMA
[09:02:42] BLOCK #000006 | SUPPLY: 699,997,835.25 HUMA
[09:02:45] BLOCK #000007 | SUPPLY: 699,997,583.58 HUMA
[09:02:48] BLOCK #000008 | SUPPLY: 699,997,418.77 HUMA
[09:02:51] BLOCK #000009 | SUPPLY: 699,997,406.32 HUMA
[09:02:54] BLOCK #000010 | SUPPLY: 699,997,121.88 HUMA
[09:02:57] BLOCK #000011 | SUPPLY: 699,996,978.26 HUMA
[09:03:00] BLOCK #000012 | SUPPLY: 699,996,907.46 HUMA
[09:03:03] BLOCK #000013 | SUPPLY: 699,996,876.73 HUMA
[09:03:06] BLOCK #000014 | SUPPLY: 699,996,838.17 HUMA
[09:03:09] BLOCK #000015 | SUPPLY: 699,996,574.38 HUMA
[09:03:12] BLOCK #000016 | SUPPLY: 699,996,379.00 HUMA
[09:03:15] BLOCK #000017 | SUPPLY: 699,995,984.73 HUMA
[09:03:19] BLOCK #000018 | SUPPLY: 699,995,607.18 HUMA
[09:03:22] BLOCK #000019 | SUPPLY: 699,995,271.94 HUMA
[09:03:25] BLOCK #000020 | SUPPLY: 699,994,820.77 HUMA
[09:03:28] BLOCK #000021 | SUPPLY: 699,994,396.90 HUMA
[09:03:31] BLOCK #000022 | SUPPLY: 699,993,939.58 HUMA
[09:03:34] BLOCK #000023 | SUPPLY: 699,993,456.67 HUMA
[09:03:37] BLOCK #000024 | SUPPLY: 699,993,232.33 HUMA
[09:03:40] BLOCK #000025 | SUPPLY: 699,993,071.58 HUMA
[09:03:43] BLOCK #000026 | SUPPLY: 699,992,679.38 HUMA
[09:03:46] BLOCK #000027 | SUPPLY: 699,992,184.83 HUMA
[09:03:49] BLOCK #000028 | SUPPLY: 699,992,126.38 HUMA
[09:03:52] BLOCK #000029 | SUPPLY: 699,991,799.68 HUMA
[09:03:55] BLOCK #000030 | SUPPLY: 699,991,301.88 HUMA
[09:03:58] BLOCK #000031 | SUPPLY: 699,990,914.52 HUMA
[09:04:01] BLOCK #000032 | SUPPLY: 699,990,846.00 HUMA
[09:04:04] BLOCK #000033 | SUPPLY: 699,990,375.50 HUMA
[09:04:07] BLOCK #000034 | SUPPLY: 699,990,070.96 HUMA
[09:04:10] BLOCK #000035 | SUPPLY: 699,989,596.84 HUMA
[09:04:13] BLOCK #000036 | SUPPLY: 699,989,246.15 HUMA
[09:04:16] BLOCK #000037 | SUPPLY: 699,988,902.53 HUMA
[09:04:19] BLOCK #000038 | SUPPLY: 699,988,781.97 HUMA
[09:04:22] BLOCK #000039 | SUPPLY: 699,988,599.12 HUMA
[09:04:25] BLOCK #000040 | SUPPLY: 699,988,209.05 HUMA
[09:04:28] BLOCK #000041 | SUPPLY: 699,987,819.88 HUMA
[09:04:31] BLOCK #000042 | SUPPLY: 699,987,454.02 HUMA
[09:04:34] BLOCK #000043 | SUPPLY: 699,987,365.50 HUMA
[09:04:37] BLOCK #000044 | SUPPLY: 699,986,953.65 HUMA
[09:04:40] BLOCK #000045 | SUPPLY: 699,986,836.24 HUMA
[09:04:43] BLOCK #000046 | SUPPLY: 699,986,699.99 HUMA
[09:04:46] BLOCK #000047 | SUPPLY: 699,986,350.04 HUMA
[09:04:49] BLOCK #000048 | SUPPLY: 699,986,040.35 HUMA
[09:04:52] BLOCK #000049 | SUPPLY: 699,985,954.90 HUMA
[09:04:55] BLOCK #000050 | SUPPLY: 699,985,612.07 HUMA
[09:04:58] BLOCK #000051 | SUPPLY: 699,985,187.85 HUMA
[09:05:01] BLOCK #000052 | SUPPLY: 699,984,752.24 HUMA
[09:05:04] BLOCK #000053 | SUPPLY: 699,984,370.05 HUMA
[09:05:07] BLOCK #000054 | SUPPLY: 699,984,306.00 HUMA
[09:05:10] BLOCK #000055 | SUPPLY: 699,984,165.92 HUMA
[09:05:13] BLOCK #000056 | SUPPLY: 699,983,825.64 HUMA
[09:05:16] BLOCK #000057 | SUPPLY: 699,983,667.41 HUMA
[09:05:19] BLOCK #000058 | SUPPLY: 699,983,584.09 HUMA
[09:05:22] BLOCK #000059 | SUPPLY: 699,983,532.75 HUMA
[09:05:25] BLOCK #000060 | SUPPLY: 699,983,460.71 HUMA
[09:05:28] BLOCK #000061 | SUPPLY: 699,983,088.68 HUMA
[09:05:31] BLOCK #000062 | SUPPLY: 699,983,009.90 HUMA
[09:05:34] BLOCK #000063 | SUPPLY: 699,982,586.19 HUMA
[09:05:37] BLOCK #000064 | SUPPLY: 699,982,161.57 HUMA
[09:05:40] BLOCK #000065 | SUPPLY: 699,982,081.09 HUMA
[09:05:43] BLOCK #000066 | SUPPLY: 699,981,922.98 HUMA
[09:05:46] BLOCK #000067 | SUPPLY: 699,981,856.90 HUMA
[09:05:49] BLOCK #000068 | SUPPLY: 699,981,812.06 HUMA
[09:05:52] BLOCK #000069 | SUPPLY: 699,981,341.16 HUMA
[09:05:55] BLOCK #000070 | SUPPLY: 699,981,232.14 HUMA
[09:05:58] BLOCK #000071 | SUPPLY: 699,981,163.22 HUMA
