[01:16:57] BLOCK #000001 | TX: -1321.73 | ADDR: HUM-1D694F52BAA2 | REMAINING: 699,998,678.27
[01:17:00] BLOCK #000002 | TX: -4472.18 | ADDR: HUM-F46CFA1B8631 | REMAINING: 699,994,206.09
[01:17:03] BLOCK #000003 | TX: -1227.04 | ADDR: HUM-0626EAE9D206 | REMAINING: 699,992,979.05
[01:17:06] BLOCK #000004 | TX: -4708.34 | ADDR: HUM-CB8A337FCD81 | REMAINING: 699,988,270.72
[01:17:09] BLOCK #000005 | TX: -2452.21 | ADDR: HUM-5262A5F56788 | REMAINING: 699,985,818.51
[01:17:12] BLOCK #000006 | TX: -3639.48 | ADDR: HUM-8D59355C5929 | REMAINING: 699,982,179.03
[01:17:15] BLOCK #000007 | TX: -1768.01 | ADDR: HUM-05F9E75FB381 | REMAINING: 699,980,411.02
[01:17:18] BLOCK #000008 | TX: -2497.30 | ADDR: HUM-C314B20E482D | REMAINING: 699,977,913.72
[01:17:21] BLOCK #000009 | TX: -2736.45 | ADDR: HUM-9104F55E5BF1 | REMAINING: 699,975,177.27
[01:17:24] BLOCK #000010 | TX: -4637.66 | ADDR: HUM-3C41F7EAF453 | REMAINING: 699,970,539.61
[01:17:27] BLOCK #000011 | TX: -1826.72 | ADDR: HUM-1936CE3A1B97 | REMAINING: 699,968,712.90
[01:17:30] BLOCK #000012 | TX: -4986.49 | ADDR: HUM-41705D9E214D | REMAINING: 699,963,726.40
[01:17:33] BLOCK #000013 | TX: -2880.62 | ADDR: HUM-CBF1F7887CE6 | REMAINING: 699,960,845.78
[01:17:36] BLOCK #000014 | TX: -1019.78 | ADDR: HUM-EA20F4C6F626 | REMAINING: 699,959,826.00
[01:17:39] BLOCK #000015 | TX: -1285.35 | ADDR: HUM-895A714F9598 | REMAINING: 699,958,540.65
[01:17:42] BLOCK #000016 | TX: -1001.43 | ADDR: HUM-9F2006CA4C3B | REMAINING: 699,957,539.22
[01:17:45] BLOCK #000017 | TX: -981.80 | ADDR: HUM-6EE5AE066AE7 | REMAINING: 699,956,557.42
[01:17:48] BLOCK #000018 | TX: -3824.27 | ADDR: HUM-E325C74F1102 | REMAINING: 699,952,733.15
[01:17:51] BLOCK #000019 | TX: -4327.58 | ADDR: HUM-CCA35A92974E | REMAINING: 699,948,405.57
[01:17:54] BLOCK #000020 | TX: -1219.90 | ADDR: HUM-621321298604 | REMAINING: 699,947,185.68
[01:17:57] BLOCK #000021 | TX: -1963.80 | ADDR: HUM-9AD438E2153F | REMAINING: 699,945,221.87
[01:18:00] BLOCK #000022 | TX: -3404.90 | ADDR: HUM-6AB105C31179 | REMAINING: 699,941,816.97
[01:18:03] BLOCK #000023 | TX: -3545.93 | ADDR: HUM-22118A8A5E82 | REMAINING: 699,938,271.05
